userId,viewCount
994880,4176
7076753,2680
7617770,1849
3399791,1640
1436826,1503
413815,1382
2819462,1193
14538,1182
1811453,1166
137532,1141
503296,1086
5890846,1030
3419729,1016
3920049,993
2339156,976
6520049,913
9136281,909
2515131,892
2841802,865
73783,818
7026904,797
1309948,763
289798,734
7658447,731
473101,712
4834969,696
31176,675
6357,653
1381280,646
6305054,632
5035015,625
195734,618
2430837,607
115157,597
2253457,597
8990772,585
170862,583
654585,573
9832676,571
6584928,556
6304323,552
602767,545
3300529,544
1472290,534
3646440,531
4856161,531
6931412,527
6325072,527
97208,527
2635878,526
2155925,512
3527209,511
1057201,503
2083965,500
2391347,494
5820527,464
2664027,456
3574188,452
9454219,450
5364841,447
4872151,442
3252245,440
10391948,434
584970,432
7526757,428
131273,424
10267803,417
5959706,412
8485329,412
2321907,411
5861440,410
6605278,407
6485327,404
1403363,404
2070592,403
5767556,398
7550568,395
1778709,393
6602895,384
2333656,383
60461,376
6328240,374
435764,371
10142613,369
1900830,357
347815,356
4241743,353
4957200,352
1495313,351
961207,350
4718748,344
6579132,343
4752203,338
131137,335
8620628,329
5072061,323
8404164,321
1281335,320
7364713,319
1247607,314
5376933,313
878985,311
133242,311
969089,311
7603079,308
7914637,306
203815,306
2491907,304
6488105,301
5828326,295
4592873,294
5849735,294
1336623,292
1884999,292
2515429,292
6993061,291
8904844,290
2657266,289
8107318,285
8576657,283
1199603,283
2043827,281
3014499,281
10454329,281
3494088,280
7405536,279
5148822,278
4863924,278
561447,277
3460591,274
7133957,272
1660422,267
7345002,266
2832460,266
3879899,265
4753801,265
8831418,265
963784,264
3182257,264
2802661,263
5266688,262
8002572,261
10752156,258
2479647,256
3513656,255
648777,253
5092855,252
2384014,252
1773949,252
9927911,252
2083861,250
8644319,249
3104386,248
6426806,247
4382971,246
3943180,244
3429179,244
2417231,243
778209,242
7695471,242
2388908,241
1248159,240
4207030,237
4620279,236
143956,236
6270605,236
9828277,234
5473401,234
11471015,234
618293,233
8661169,233
3803780,232
448048,230
374819,229
569205,227
2040954,225
733829,224
128655,223
1739124,223
4730001,223
4958664,223
4113619,222
4048294,222
3747791,221
1501507,218
9154488,216
1110914,216
2840745,216
9513174,212
403542,210
1569392,210
91396,209
1269491,208
4313379,208
7329184,208
11338132,207
3264922,206
8139,205
5617471,205
6280918,205
251669,202
8619213,200
1244881,200
9376970,199
6327768,198
766388,198
5324614,197
578996,197
110483,197
1975006,197
3139612,196
2667450,196
2867257,196
3478581,195
1533708,195
1027928,195
2510338,194
354355,192
1623169,192
9023356,192
5418,192
910606,191
2308686,190
2996140,190
1491803,190
9695772,190
5951391,190
7497404,189
2303810,189
9263414,189
3699775,188
1577646,188
678660,187
289216,186
2958424,186
2590287,184
8564921,184
9600616,183
1344367,183
11510293,182
4896888,181
5918215,180
11028328,180
2115897,179
9159020,179
5801130,178
4638301,178
6595900,177
6856725,177
9813558,176
1279061,176
9878901,176
10745600,176
6238212,175
2058324,175
2137890,173
4067188,173
2645490,171
11347132,171
5349250,171
1985021,170
10478471,170
3919983,170
3957478,170
107364,169
4999488,169
5703450,168
5298440,168
9421080,167
5490815,166
4452490,166
4944,166
11175084,166
363006,166
8806035,166
4395853,165
6264906,165
1920224,165
5096942,165
2603608,164
4645,164
4687484,163
10680775,163
1974608,163
620721,163
