t_sec,count,p50_ms,p95_ms,p99_ms,p999_ms
5.0,497,20.348101265822788,337.04918032786867,467.40983606557364,496.7409836065573
11.4,492,8.306451612903226,201.81818181818156,440.3636363636362,494.0363636363635
16.4,388,14.21875,435.2380952380947,1120.0000000000045,4612.000000000024
21.5,418,19.155844155844154,165.59999999999948,433.11999999999995,493.31199999999984
26.5,378,21.065573770491806,247.99999999999955,449.5999999999997,494.96000000000015
31.5,426,8.333333333333334,78.03571428571426,310.6666666666671,481.0666666666672
36.6,415,33.39285714285714,464.1509433962264,3962.5000000000055,4896.2499999999945
41.6,409,9.83695652173913,159.16666666666592,431.83333333333286,493.1833333333335
46.6,350,13.791208791208792,92.34693877551021,360,485.9999999999991
51.7,347,21.676136363636363,222.39999999999966,444.47999999999956,494.4480000000003
56.7,308,7.717391304347826,87.19999999999995,363.1111111111118,486.3111111111115
61.7,291,15.878378378378379,1362.4999999999973,4272.499999999994,4927.250000000001
66.7,327,16.766304347826086,155.78947368421007,431.15789473684254,493.1157894736843
73.0,319,7.336956521739131,78.20312500000003,98.14062500000001,436.1999999999967
78.5,276,15.204081632653061,93.95833333333333,449.33333333333394,4447.999999999979
83.5,900,10.827586206896552,187.8048780487805,2230.769230769231,4723.07692307693
88.5,396,17.413793103448278,183.19999999999985,436.6400000000004,493.66399999999976
93.5,343,14.725,99.80263157894734,419.2941176470587,491.9294117647055
98.6,318,16.805555555555557,102.49999999999915,420.4999999999999,492.0500000000004
103.6,302,15.4,87.34374999999997,327.4285714285725,482.74285714285594
109.1,287,18.67857142857143,252.99999999999955,482.5999999999999,4426.000000000045
114.1,880,30.851063829787236,390.909090909091,489.37062937062956,4120.000000000005
119.2,682,18.608695652173914,98.64238410596028,409.06666666666604,490.90666666666647
124.2,326,13.500000000000002,228.33333333333317,445.66666666666686,494.56666666666626
129.3,371,16.43939393939394,162.72727272727252,432.5454545454549,493.25454545454585
135.5,430,16.216216216216218,231.25,446.24999999999994,494.625
140.5,297,19.668674698795183,271.53846153846115,454.307692307692,495.4307692307689
146.9,267,12.78225806451613,99.41666666666664,444.3333333333328,3932.0000000000164
151.9,1092,8.725490196078432,89.60937499999994,479.55555555555395,4563.199999999961
157.0,378,8.661971830985916,64.16666666666659,247.99999999999804,474.800000000001
162.1,339,19.609375000000004,97.6209677419355,403.14285714285757,490.3142857142858
167.1,273,15.5078125,326.9999999999994,726.9999999999982,972.6999999999975
172.2,287,20.625,270.39999999999964,454.0799999999999,495.4080000000004
177.2,224,21.129032258064516,359.9999999999998,471.9999999999999,497.2000000000002
182.3,305,17.5,256,451.1999999999998,495.1199999999999
187.3,211,21.680327868852462,288.99999999999983,457.7999999999998,495.7799999999998
192.6,208,18.333333333333332,95.71428571428571,494.66666666666583,4584.000000000004
199.1,1693,8.42896174863388,98.64832535885165,481.96923076923036,4479.076923076927
204.1,765,10.17716535433071,152.27272727272728,430.45454545454567,493.0454545454547
209.1,254,22.83132530120482,330.66666666666646,466.1333333333334,496.61333333333346
214.2,249,24.464285714285715,357.71428571428555,471.54285714285703,497.1542857142858
219.2,266,23.815789473684212,344.1379310344826,490.8965517241376,933.4999999999951
224.3,190,24.7,327.27272727272725,465.4545454545453,496.5454545454546
229.4,336,18.863636363636367,336.09756097560967,467.2195121951218,496.7219512195121
234.5,270,13.636363636363637,230,446.0000000000003,494.60000000000036
239.5,323,20.03125,309.9999999999996,461.99999999999983,496.20000000000033
244.5,170,15.192307692307692,2384.6153846153848,4476.923076923081,4947.692307692311
249.6,1439,8.958333333333332,92.14467005076142,359.6097560975601,485.9609756097554
254.6,621,6.136363636363636,73.68749999999991,251.59999999999854,475.1600000000008
260.8,345,24.537037037037038,308.33333333333337,461.6666666666668,496.1666666666664
265.9,159,29.779411764705884,386.4285714285712,477.2857142857142,497.7285714285716
270.9,296,20.609756097560975,263.1999999999998,452.6400000000004,495.2640000000001
276.0,295,20.919117647058822,321.2121212121212,464.2424242424245,496.4242424242422
281.1,160,20.961538461538463,286.6666666666667,457.3333333333335,495.73333333333346
286.2,197,17.954545454545457,589.5833333333323,917.9166666666667,991.7916666666666
291.4,189,63.281250000000014,693.7499999999978,3919.9999999999914,4892.000000000004
296.4,169,24.5,192.72727272727212,438.5454545454547,493.8545454545451
301.5,82,26.78571428571429,3828.571428571426,4765.7142857142835,4976.57142857143
306.5,649,20.584112149532714,366.13636363636346,484.13636363636357,3701.999999999998
311.5,843,12.7375,279.4366197183094,469.408450704225,859.5000000000066
316.6,1132,15.576923076923078,98.93491124260352,414.56603773584953,491.45660377358445
323.1,860,9.779005524861878,89.20454545454545,356.66666666666634,485.66666666666646
328.2,232,22.647058823529413,358.66666666666634,482.40000000000003,884.0000000000003
333.3,134,18.250000000000004,392.79999999999995,478.56,497.85600000000017
338.4,170,41.66666666666667,836.9565217391304,984.7826086956524,4320.00000000005
343.5,155,26.861702127659576,293.3333333333333,458.66666666666646,495.8666666666667
348.6,241,35.68840579710145,376.4102564102563,475.2820512820514,497.52820512820495
353.7,125,32.371794871794876,333.33333333333337,466.6666666666667,496.6666666666667
358.8,213,23.75,286.99999999999994,457.40000000000015,495.7400000000002
363.9,264,26.75438596491228,344.705882352941,468.9411764705884,496.8941176470587
369.0,229,34.51492537313433,382.5641025641024,476.5128205128206,497.65128205128195
374.1,182,25,257.33333333333354,451.4666666666669,495.14666666666693
379.1,238,29.577464788732396,341.33333333333326,468.2666666666667,496.82666666666665
385.6,152,34.44444444444444,374.28571428571445,490.0952380952379,924.0000000000066
390.9,23,311.11111111111114,962.4999999999994,4079.999999999998,4908.000000000001
396.2,44,257.57575757575756,497.57575757575756,890.0000000000006,989.0000000000008
401.6,66,155.17241379310346,793.7499999999998,958.7500000000002,995.8749999999999
409.0,32,37.50000000000001,7333.33333333333,9466.666666666664,9946.666666666666
414.1,944,7.517985611510792,134.54545454545413,477.81818181818136,4460.571428571452
419.2,1117,10.704419889502763,96.67293233082702,404.9361702127654,490.4936170212769
424.2,795,12.554054054054054,93.1686046511628,386.42857142857076,488.64285714285774
429.2,974,14.357541899441342,95.16447368421052,385.4117647058822,488.5411764705877
434.3,389,15.681818181818182,90.61111111111106,358.5454545454551,485.8545454545451
439.4,216,26.666666666666668,303.63636363636346,460.72727272727275,496.0727272727271
444.6,180,35.714285714285715,336.36363636363643,467.2727272727271,496.7272727272726
451.0,331,28.792134831460675,352.8888888888888,470.5777777777778,497.0577777777777
