t_sec,count,p50_ms,p95_ms,p99_ms,p999_ms
5.0,6240,5.01164596273292,27.30909090909091,45.46181818181821,49.546181818181836
11.4,6397,2.7762522247648107,8.761684782608693,22.18695652173902,47.21869565217394
16.4,5069,1.2937219730941705,4.703363228699552,5.406603773584944,9.71047169811317
21.5,6805,5.087223587223588,40.29935851746258,48.05987170349251,49.80598717034925
26.5,5599,6.427780239255649,40.61772151898735,48.177552742616044,49.87851476793249
31.5,5389,2.429004165088982,9.220127610208817,34.03259259259249,48.40325925925922
36.6,6426,2.52099533437014,23.280665280665268,44.656133056133044,49.465613305613275
41.6,5856,2.841159420289855,31.290734824281138,46.25814696485621,49.625814696485634
46.6,5461,5.27983449477352,30.600355239786847,46.120071047957396,49.61200710479572
51.7,6400,6.802486187845304,44.37115215479332,48.87423043095867,49.88742304309587
56.7,5406,2.872936468234117,27.093220338983038,45.41864406779658,49.54186440677967
61.7,4041,1.1696658097686377,4.909408740359897,9.629527559055123,44.785806451612686
66.7,5669,6.6348158443363445,43.996777658431796,48.86809881847477,49.964146079484436
73.0,5239,2.9298751200768494,9.815838976674192,40.16150234741778,49.016150234741865
78.5,6136,4.402623612512613,42.70313460356484,48.73730792870315,69.3199999999979
83.5,14405,1.1637669152167909,4.744131455399061,7.268072289156642,9.87138554216866
88.5,5143,11.450498848810438,46.973906369915575,57.141666666666424,95.71416666666666
93.5,6408,12.35366605052372,47.88786198398028,78.88435374149664,98.50068027210874
98.6,6006,13.404808317089019,48.52761533463288,83.94117647058813,98.39411764705875
103.6,4900,22.588652482269502,48.65248226950355,81.29770992366413,98.12977099236656
109.1,4830,13.838537699923839,46.945925361766946,49.888804265041884,94.10975609756107
114.1,12764,2.333865602129075,8.200348432055746,27.30844444444455,47.730844444444585
119.2,9018,1.6527777777777777,17.558878504672926,44.528598130841104,78.50714285714277
124.2,4146,10.98613251155624,49.315870570107855,139.4782608695649,463.94782608695886
129.3,5064,12.87722199255891,56.52509652509656,95.62934362934357,427.6571428571385
135.5,6015,16.054760423148725,49.741754822650904,93.4486166007906,410.8888888888841
