t_sec,hit_ratio_pct
5.0,15.178714537586153
11.4,22.708789490147012
16.4,25.754884547069274
21.5,25.029325513196483
26.5,20.282849982098103
31.5,32.49211356466877
36.6,22.198007471980073
41.6,23.05593451568895
46.6,24.65175953079179
51.7,33.58302122347066
56.7,32.84522706209454
61.7,35.57478368355995
66.7,30.476190476190478
73.0,30.914645789574184
78.5,36.29545083971955
83.5,41.0204790003471
88.5,33.82467028704422
93.5,45.78651685393258
98.6,43.8321957715998
103.6,26.790450928381965
109.1,33.06334371754932
114.1,29.04590318032273
119.2,37.509701740769486
124.2,39.2204042348412
129.3,45.91393604421635
135.5,40.71179111924164
140.5,36.56122229395309
146.9,30.75919077659343
151.9,37.29096989966555
157.0,44.38728642292853
162.1,36.47087144920558
167.1,40.57903338781228
172.2,43.51179673321234
177.2,29.416553595658073
182.3,56.42611683848797
187.3,24.471474080509704
192.6,33.765896703867114
199.1,39.79037915483548
204.1,40.41372351160444
209.1,40.5189620758483
214.2,48.01143129316504
219.2,40.55429864253394
224.3,19.48464525238263
229.4,52.21297107800176
234.5,52.84274193548387
239.5,51.118989585641486
244.5,38.917614615649775
249.6,52.58362989323844
254.6,54.34179882444272
260.8,50.41095890410959
265.9,29.791740204729965
270.9,57.49202975557917
276.0,50.91449474165523
281.1,23.07118896757361
286.2,31.322674418604652
291.4,40.24110218140069
296.4,21.963824289405682
301.5,27.84887263863498
306.5,40.11567270313833
311.5,47.3789816904941
316.6,44.79942100909843
323.1,52.071750066190106
328.2,44.11134903640257
333.3,49.02852418354692
338.4,35.874439461883405
343.5,40.105740181268885
348.6,42.00848656294201
353.7,27.020991514068783
358.8,45.12855209742896
363.9,54.99153976311336
369.0,47.3908762717427
374.1,39.05415713196034
379.1,41.868852459016395
385.6,37.83529411764706
390.9,6.8584070796460175
396.2,40.847201210287444
401.6,37.833827893175076
409.0,19.319727891156464
414.1,42.278187870893035
419.2,32.21641561635413
424.2,34.87293637544055
429.2,36.438035853468435
434.3,48.53711790393013
439.4,37.23021582733813
444.6,37.33113673805602
451.0,72.75381552753815
456.1,74.61322081575246
461.1,70.25927808845958
466.3,74.8107653490328
471.4,78.85416666666667
476.5,61.35953026196928
481.6,70.5414364640884
486.6,76.46882043576258
491.7,65.03712871287128
496.8,49.24821946715906
501.8,44.803982576229
506.9,48.8169703562687
515.8,39.92673992673993
520.9,35.21294845975983
525.9,49.16973000380276
530.9,28.48493797991731
536.0,35.44464149987332
541.1,37.53894080996885
546.1,55.58008339465294
551.1,37.1900826446281
556.2,44.260355029585796
561.2,32.81466113416321
566.3,51.8840579710145
571.6,41.23803827751196
578.0,30.633200228180264
583.1,40.27646874018222
588.2,26.336173508907823
593.2,43.070936845255915
599.1,31.79468242245199
604.1,35.909800991645724
609.1,38.4107691302359
614.2,38.94892672094745
619.3,27.951153324287652
624.4,31.979495268138802
629.4,51.254752851711025
634.6,54.47935601142561
641.0,29.700524853349798
646.1,26.42829382044306
651.1,47.4179829890644
656.2,47.53015508328547
661.3,37.30898248229594
666.4,26.75653594771242
671.4,25.256410256410255
676.5,45.5609756097561
681.6,36.92493946731235
686.7,30.663329161451813
691.7,30.52147239263804
697.0,41.013215859030836
703.5,44.84165934803947
708.6,41.232284410281046
713.6,29.100021326508852
718.8,32.93768545994065
723.8,33.409312927385216
728.9,50.92592592592593
733.9,36.6784730421094
739.0,37.39897134459956
744.0,38.71886120996441
749.1,41.35338345864661
754.2,42.03400503778337
759.4,40.931223371880705
765.8,30.46852543834435
770.9,44.31006047278724
775.9,37.70648030495553
781.0,40.74313408723748
786.1,42.87103046014258
793.9,33.85871094849423
798.9,49.10892216591699
804.0,38.681402439024396
809.0,46.56111145878966
814.0,39.43498900081047
819.0,49.233750220186714
824.3,57.32323232323232
830.7,58.04129569994318
835.8,48.47628023876846
