t_sec,rate_per_sec
5.0,98.70903506012623
11.4,77.3341717832473
16.4,77.19856709770494
21.5,82.82147923259356
26.5,74.92566784611004
31.5,84.87746472744657
36.6,82.57063625079226
41.6,81.24751433009757
46.6,69.54102931264771
51.7,68.99980055141111
56.7,61.317937464273406
61.7,57.9681277102897
66.7,64.81113356943567
73.0,51.27383483853607
78.5,50.33740616154831
83.5,179.104482710667
88.5,78.75894805818076
93.5,68.05555607065743
98.6,63.08272008302131
103.6,59.82567520681915
109.1,52.76705150875692
114.1,174.37016847647544
119.2,134.79376590221835
124.2,64.83691178527003
129.3,73.45080010176805
135.5,69.18745067391899
140.5,58.8235291228836
146.9,41.790577954405144
151.9,217.70334787499698
157.0,74.204948996957
162.1,66.8770959986834
167.1,54.15592007127301
172.2,56.74179419169363
177.2,44.497418268698404
182.3,60.51587347390821
187.3,41.873387291603756
192.6,39.28234126591033
199.1,262.23668510126845
204.1,151.6898616977896
209.1,50.70310927763704
214.2,49.248417777255085
219.2,52.70457520372222
224.3,37.29878388735934
229.4,66.508312936558
234.5,53.06603711916697
239.5,64.22748309712242
244.5,33.71677868604127
249.6,286.6533875433226
254.6,122.23538391510792
260.8,55.994835969788056
265.9,31.454007002856212
270.9,58.68358272590325
276.0,57.934014053024065
281.1,31.250000698491945
286.2,38.56695349554167
291.4,36.77042726510285
296.4,33.4918747269597
301.5,16.295708034265754
306.5,129.02584566430596
311.5,167.66109397233936
316.6,224.55862424956794
323.1,130.54037527040586
328.2,45.895152707451636
333.3,26.42998062414035
338.4,32.88837204625496
343.5,30.753968486740238
348.6,47.09791017746366
353.7,24.698675620388826
358.8,41.740153459711536
363.9,51.17270868373255
369.0,45.13204465447374
374.1,35.71428602173287
379.1,47.18477259717896
385.6,23.66495459133763
390.9,4.311960915445081
396.2,8.30032088236015
401.6,12.210915883322313
409.0,4.303388855855355
414.1,185.53458903886528
419.2,221.93522783493572
424.2,158.02027747449557
429.2,193.59968586183484
434.3,76.30443236876853
439.4,42.44448822297014
444.6,34.67539983222974
451.0,52.03584292155073
456.1,49.353702043825315
461.1,43.065981517049586
466.3,45.046801687769204
471.4,62.063613552532914
476.5,35.974052259178954
481.6,38.680542412807284
486.6,49.017661900597766
491.7,49.705305356825264
496.8,42.06349039203913
501.8,37.68346031337717
506.9,44.4011685342634
515.8,160.53399085578897
520.9,207.48705387609402
525.9,202.90142822771702
530.9,93.18001751648664
536.0,56.454796853816
541.1,35.884219511668256
546.1,57.19374389297182
551.1,49.87085244992736
556.2,43.85791009144647
561.2,35.50178461647875
566.3,56.939500791664685
571.6,59.55993846159691
578.0,36.220715634982035
583.1,48.06170891515255
588.2,42.36453162165551
593.2,55.35785060129516
599.1,25.00856432362083
604.1,220.52704877003978
609.1,246.46905777996028
614.2,213.64631203400597
619.3,45.320777962133405
624.4,31.941993878207217
629.4,51.16002396950625
634.6,49.9515976583741
641.0,35.041270809270856
646.1,35.22659824671515
651.1,45.37348981881321
656.2,53.81604556062285
661.3,39.4736841513825
666.4,31.79587813352554
671.4,35.36658062186084
676.5,61.65325034325628
681.6,39.629337330793085
686.7,39.543577058288065
691.7,45.27481139337227
697.0,76.07664711914724
703.5,197.85110963078935
708.6,240.8585138723182
713.6,119.13285324962192
718.8,57.19769631824972
723.8,30.128841404286895
728.9,48.63582359288025
