t_sec,count,p50_ms,p95_ms,p99_ms,p999_ms
5.0,497,233.19919517102616,8166.4989939637835,9633.29979879276,9963.329979879276
11.4,492,92.64705882352942,7931.4024390243885,9586.280487804877,9958.628048780489
16.4,388,108.60215053763442,8036.082474226802,9607.216494845361,9960.721649484532
21.5,418,196.17224880382778,8120.215311004785,9624.043062200957,9962.404306220094
26.5,378,247.61904761904762,8184.52380952381,9636.904761904765,9963.690476190479
31.5,426,88.72901678657075,7889.6713615023455,9577.934272300468,9957.793427230048
36.6,415,282.4561403508772,8257.831325301206,9651.566265060239,9965.156626506026
41.6,409,89.67532467532469,7902.811735941318,9580.562347188265,9958.056234718826
46.6,350,144.00000000000003,8055,9611,9961.1
51.7,347,260.806916426513,8201.008645533144,9640.201729106631,9964.020172910665
56.7,308,84.69899665551839,7851.461038961041,9570.29220779221,9957.029220779223
61.7,291,99.62264150943396,8051.546391752576,9610.309278350518,9961.03092783505
66.7,327,158.1039755351682,8072.629969418958,9614.525993883792,9961.452599388376
73.0,319,87.93375394321768,7880.094043887148,9576.018808777426,9957.601880877743
78.5,276,117.51824817518249,8028.985507246373,9605.79710144927,9960.579710144928
83.5,900,85.22458628841609,7875.555555555552,9575.11111111111,9957.51111111111
88.5,396,187.37373737373738,8109.217171717171,9621.843434343436,9962.184343434345
93.5,343,92.40797546012271,7927.842565597666,9585.568513119537,9958.556851311956
98.6,318,99.66887417218544,7996.8553459119485,9599.371069182389,9959.937106918236
103.6,302,94.57627118644069,7947.019867549669,9589.40397350993,9958.940397350992
109.1,287,97.16981132075472,7980.836236933797,9596.167247386764,9959.616724738673
114.1,880,182.2857142857143,8107.386363636362,9621.477272727272,9962.147727272726
119.2,682,123.46041055718476,8029.325513196479,9605.865102639294,9960.586510263927
124.2,326,91.3907284768212,7920.245398773007,9584.049079754603,9958.40490797546
129.3,371,91.26074498567336,7917.789757412398,9583.557951482479,9958.355795148247
135.5,430,91.14321608040201,7918.023255813951,9583.60465116279,9958.360465116279
140.5,297,203.03030303030303,8128.787878787877,9625.757575757576,9962.57575757576
