t_sec,rate_per_sec
5.0,1051.0426831754285
11.4,776.7997499040816
16.4,748.5077562411494
21.5,1013.0770892733274
26.5,882.6560817955768
31.5,724.8455790573959
36.6,994.4290120035174
41.6,896.3050969618588
46.6,816.8090614408421
51.7,846.2915018639933
56.7,721.2821020553979
61.7,519.123507948505
66.7,783.6978175788815
73.0,579.7147951431984
78.5,712.5661082361204
83.5,1690.7463167886967
88.5,678.5998251881637
93.5,689.2857195028103
98.6,669.311627547528
103.6,710.7765650399573
109.1,592.5721498701168
114.1,1796.8657406824968
119.2,1112.295262994001
124.2,502.38662321960766
129.3,542.466825549446
135.5,573.612236401212
140.5,583.877992775289
146.9,498.2000360631894
151.9,1869.0191266740812
157.0,594.2285201422985
162.1,520.6155054292788
167.1,504.8601339977649
172.2,492.2894339279342
177.2,516.6865398075204
182.3,503.1746069830532
187.3,517.5630050071213
192.6,481.9641101471306
199.1,2233.4263216037743
204.1,1408.7475229233778
209.1,413.1511170044956
214.2,431.76424099497126
219.2,416.4850266098651
224.3,447.78171603719295
229.4,431.7102098649792
234.5,459.7091141545613
239.5,438.6558133506255
244.5,351.44783430391254
249.6,1990.6374577626289
254.6,812.993660062196
260.8,408.90753414248684
265.9,393.47182345082393
270.9,396.5106940939409
276.0,421.641790413026
281.1,403.12500901054614
286.2,370.00782795215105
291.4,405.05835749176794
296.4,418.94569924729467
301.5,235.29412576305674
306.5,1255.666011118269
311.5,1251.7899471671458
316.6,2118.23055630467
323.1,1099.1196015500102
328.2,413.05637436706473
333.3,243.19526947436603
338.4,304.31417193387676
343.5,314.68254206432266
348.6,320.5003016225743
353.7,322.8610877097227
358.8,317.8522484115122
363.9,309.36228431529224
369.0,315.92431258131614
374.1,313.5792805644457
379.1,351.50673031427857
385.6,205.6671382576119
390.9,78.92763240879908
396.2,73.75966965915498
401.6,77.52081447139469
409.0,79.74717473506954
414.1,1567.6100446758362
419.2,1752.4339386787224
424.2,1395.7464005357333
429.2,1620.9501418924674
434.3,462.33816733467205
439.4,411.4757330504606
444.6,366.403391560561
451.0,322.7479925013403
456.1,282.80454663207837
461.1,231.13393749976154
466.3,233.6193438179546
471.4,275.6012339317165
476.5,336.3475596472961
481.6,261.73179206229497
486.6,310.77594549123927
491.7,333.0058995249756
496.8,381.74601657680796
501.8,351.8445189259531
506.9,366.5043823749286
515.8,1361.4538875093326
520.9,1729.5897792396859
525.9,1593.7996614948977
530.9,960.1506911326485
536.0,502.96091742490614
541.1,397.50198961820365
546.1,358.4009349140898
551.1,392.6087826336911
556.2,373.88372222753463
561.2,385.3629469822247
566.3,361.0122515471518
571.6,372.72381871668125
578.0,374.8458741458566
583.1,375.98892447615225
588.2,374.7783216018083
593.2,376.03797087022645
599.1,316.37546784744984
604.1,1869.6255455472553
609.1,1874.875600949254
614.2,1640.7400201643215
619.3,416.715724638837
624.4,338.03643828164076
629.4,381.3206437727152
634.6,339.39980889585195
641.0,354.61766058982107
646.1,374.62893528669537
651.1,342.9760300277977
656.2,357.53423723366524
661.3,330.32207334639486
666.4,351.9136388482179
671.4,347.5064579080596
676.5,328.6864365433472
681.6,308.16245894542084
686.7,326.9722640342028
691.7,358.24435914755696
697.0,508.0629949752526
703.5,1638.833434854878
708.6,1944.7536441868863
713.6,1322.3945596940503
718.8,477.1593055274121
723.8,405.3518465247809
728.9,314.3534939539821
733.9,318.80325379244744
739.0,337.55942297226255
744.0,340.2489713752602
749.1,355.4586763739762
754.2,360.8388868459909
759.4,373.41285438504883
765.8,378.32342505401147
770.9,396.78809659043685
775.9,389.2417727723231
781.0,360.1020886506066
786.1,348.9016444323529
793.9,300.3194869878148
798.9,1775.8791999898438
804.0,1921.1940845430881
809.0,1697.2768369935395
814.0,1041.8243567779066
819.0,572.734491823977
824.3,387.0229000589813
830.7,344.47901386216824
835.8,324.8811347855109
840.8,310.82953142796725
846.0,325.25683777008794
851.1,319.04013390458124
856.2,192.9247982279688
861.4,203.8551434422472
866.4,283.7356471099437
871.5,319.3030515290785
876.6,339.257511232957
881.7,302.6444650788472
886.9,288.70937375293414
893.7,279.729522383782
898.8,313.6596930094882
903.8,297.9818024444934
908.9,328.04233282421177
916.1,271.50837663355435
921.1,1658.3234272638138
926.1,1479.9680499157337
931.2,1774.817476952635
936.2,1007.9459834614987
941.3,490.9560589499991
946.3,377.94963444139114
951.6,333.08013467525655
958.1,297.70291095212076
963.2,307.29682104627426
968.2,301.7857165698832
973.3,320.26786582552234
978.3,306.33663655589487
983.4,262.3529460823386
988.6,262.56548989927427
